,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
Tbrg4,815.096182050204,0.0387422614066434,0.0833115490549551,0.465028700655748,0.641910903542255,0.0958322696021534,#BEBEBEB2
Mx1,49.8796060709517,-1.06068573773501,0.414326489716197,-2.56002395227386,0.0104664949251204,0.0345539364791215,#00FF00B2
Fap,75.2204055410806,0.0661989553783626,0.317026133476554,0.208812297751026,0.834594770740807,0.0981364862382501,#BEBEBEB2
Ndufa9,1986.50389415126,0.0143434305257396,0.0510014821824012,0.2812355624184,0.77852973004783,0.0976311827609725,#BEBEBEB2
Lck,53.9750617944216,-0.451800452728864,0.271188670209422,-1.666000472586,0.0957133203074461,0.0714529217385709,#BEBEBEB2
Cttnbp2,437.840926683678,-0.0174838192427136,0.0913913966753561,-0.191307058199584,0.848285031575636,0.0982940981888052,#BEBEBEB2
Galnt1,1533.28091476657,0.0411545762767139,0.0631334175316853,0.651866759090925,0.514487130407521,0.0941207259940557,#BEBEBEB2
Mkrn2,573.355732238627,0.0642246417049595,0.0810961239120776,0.791956983968683,0.428385758636687,0.0921145369992696,#BEBEBEB2
Pparg,33.1387892174194,-0.032326024980104,0.275653424860656,-0.117270536349929,0.906645672487727,0.0994097167573163,#BEBEBEB2
Raf1,2668.3050683654,-0.0262716398656869,0.0488520425138249,-0.537779763420375,0.590729104491615,0.0952236071226918,#BEBEBEB2
Sept1,51.2877599158879,-0.444339436713605,0.262456383746919,-1.69300296822679,0.0904549022215022,0.0711232468685954,#BEBEBEB2
Pdgfb,291.468297639013,0.1514357106927,0.106655782624846,1.4198546667213,0.155649996043694,0.0781858510454178,#BEBEBEB2
Acvrl1,316.130693727173,0.17441381997102,0.12504419558151,1.39481740163884,0.163070909970241,0.0787035604529596,#BEBEBEB2
Grasp,284.556362497416,0.0920704710009794,0.110521657134351,0.833053660144258,0.404814466688399,0.0914590542274561,#BEBEBEB2
Acvr1b,1622.81936094059,-0.221115247225081,0.0636002110160987,-3.47664329555623,0.000507732827418486,0.00907255095993407,#00FF00B2
Tom1l2,8085.26491755822,-0.00979382929157537,0.0462092040621068,-0.211945422786597,0.832149613225223,0.0981364862382501,#BEBEBEB2
Zfp385a,1269.75016611144,0.0115336540488071,0.0724986557650872,0.159087833106573,0.873599673914421,0.0985967056899464,#BEBEBEB2
Itga5,122.290403945613,0.251160972086023,0.216761059481417,1.1586996884353,0.246578617887692,0.0855128904101058,#BEBEBEB2
Gabra2,565.928761995184,-0.0442760480339895,0.0990481116363316,-0.447015569530038,0.654863818347058,0.0960313453815054,#BEBEBEB2
Wdr77,1030.24647937699,0.0207583639192726,0.0628927183506364,0.330059893476723,0.7413547069739,0.0972262893228615,#BEBEBEB2
Atp5f1,4411.00592479175,-0.0293463582500097,0.04455531357873,-0.658650021577208,0.51012053355619,0.0939864173712797,#BEBEBEB2
Sox9,107.069972483154,-0.00555603680935701,0.213900527190789,-0.0259748626257536,0.979277388403319,0.0999024929120249,#BEBEBEB2
Hnrnpd,1124.80746367075,0.0248185740517313,0.079793241040656,0.311036044257005,0.755773220341317,0.0975278172022802,#BEBEBEB2
Dynlt1c,50.0278186915992,0.259227914283363,0.256413657812778,1.01097545464072,0.312028177796091,0.0883509432533072,#BEBEBEB2
C1d,795.046667039725,0.0284876940495209,0.0860181457256531,0.331182377964526,0.74050673021107,0.0972149622592068,#BEBEBEB2
Gm2a,1116.19376459313,-0.017444233029699,0.0616166031937432,-0.283109294013637,0.77709305733909,0.0976311827609725,#BEBEBEB2
Krit1,836.2029410937,-0.0578309910838416,0.0675347794303264,-0.856314206867354,0.391824005075031,0.0910286690719294,#BEBEBEB2
Clcn4-2,3264.088013096,-0.0543225260737623,0.0401630496936857,-1.35254983095327,0.17619948911838,0.0805204323553337,#BEBEBEB2
Sema4f,2404.0473790487,-0.00165473389774955,0.0586276325542829,-0.0282244707087131,0.977483120193304,0.0999024929120249,#BEBEBEB2
Hk2,134.603794573156,0.156778302878653,0.171219412599535,0.915657287327235,0.35984667420841,0.0902069256074235,#BEBEBEB2
Myo18a,5230.54593294274,-0.00342311195253909,0.0490414173711011,-0.0698004286180409,0.944352506023835,0.0996246239020791,#BEBEBEB2
Sez6,1116.14299661824,-0.0578886124193927,0.0812594502736384,-0.712392370665256,0.476221838594014,0.0933088513847378,#BEBEBEB2
Cd52,63.4171586860823,-0.157330842454009,0.31415293432931,-0.500809718011698,0.616505045640561,0.0955481334185828,#BEBEBEB2
Abhd15,26.7483351259443,-0.188816591516192,0.364099895010895,-0.518584581054443,0.604050463713626,0.0953644716164735,#BEBEBEB2
Loxl3,177.107881586976,-0.130672621175515,0.161730210970049,-0.80796667729392,0.419109765231694,0.091920886237431,#BEBEBEB2
Kat2b,1205.15414264724,0.0613044296048747,0.0640745773067401,0.956766820503489,0.338684962684332,0.0892200015998419,#BEBEBEB2
Rab5b,5814.35261630195,-0.0403135576112774,0.0379339088012333,-1.06273144227011,0.287903757722402,0.0875414382969693,#BEBEBEB2
Icosl,78.1511011824189,-0.0332422095728548,0.226185093224301,-0.146969055736531,0.883156444999434,0.0988735696739383,#BEBEBEB2
Spg7,1297.93864148059,0.0245592262930302,0.0650880043384704,0.37732338766015,0.705933293662474,0.0966734484277693,#BEBEBEB2
Sult5a1,33.0454099275437,-0.326130050767762,0.379715656462499,-0.858879651700563,0.390406916856402,0.0909816558115035,#BEBEBEB2
Rpl13,3980.18518855795,0.0727774122405908,0.0669548091142044,1.08696318014222,0.277053082273941,0.0872062163162308,#BEBEBEB2
Chmp1a,2274.34563291711,0.0309695913356114,0.046675528833443,0.663508097489872,0.507005195134161,0.0938039419378866,#BEBEBEB2
Rpa1,1834.33051315302,-0.0186944090929298,0.0523500672267992,-0.357103822081811,0.721014083273424,0.0969349828222269,#BEBEBEB2
Serpinf1,1698.29458838584,-0.150606760362871,0.0948411148276358,-1.5879901943011,0.112288556462902,0.0732138970188847,#BEBEBEB2
Tubgcp3,894.181457427254,-0.031768588783953,0.0833665526050254,-0.381071158531245,0.703150447817974,0.0966734484277693,#BEBEBEB2
Oprm1,191.788788880275,0.173728629007294,0.227302785559027,0.764304883374073,0.44468557593477,0.092650930010021,#BEBEBEB2
Polr3d,421.081553355037,0.00888325783978138,0.0949250618893148,0.093581796661239,0.925441370307128,0.0994724126897204,#BEBEBEB2
Tcf7,67.7590737101177,0.196907526280764,0.264903212380603,0.743318755975878,0.457288718762989,0.0930859013999839,#BEBEBEB2
Ddx3x,7307.07596393952,0.0552674453985759,0.0585637471062716,0.943714296462039,0.345315666316947,0.0894962718342523,#BEBEBEB2
Slc5a5,434.675265557471,0.144005845347338,0.140527224333949,1.02475407188803,0.305479242344384,0.0880603094115329,#BEBEBEB2
Usp32,4221.82317039156,-0.0533195678363657,0.0479266824475847,-1.11252365307528,0.265913066070031,0.086654146033053,#BEBEBEB2
Car4,84.4081539022524,-0.296885137597329,0.213259859945078,-1.39212854061607,0.16388347702664,0.0787128194412398,#BEBEBEB2
Txnrd3,301.741205682328,0.0672752437624059,0.101416206737794,0.663357918092348,0.507101350716778,0.0938039419378866,#BEBEBEB2
Znf512b,614.705070777185,-0.137360298416359,0.107378286997822,-1.27921856696359,0.200820099354721,0.0821850363663252,#BEBEBEB2
Dnajc5,6056.32453389621,-0.022880946951297,0.0415223581388248,-0.551051240269094,0.581598549332542,0.0952236071226918,#BEBEBEB2
Tpd52l2,1760.70757447875,0.0476316958588575,0.0493852384063433,0.96449257705192,0.334799028169099,0.0890750825106501,#BEBEBEB2
Fmr1,1554.86933857436,0.00857009236647967,0.0646791049762817,0.132501715501821,0.894587466215275,0.099174351308803,#BEBEBEB2
Bcl11a,47.4925433891437,-0.748747155455569,0.266729215929583,-2.80714339014606,0.00499829873552168,0.0255181001515295,#00FF00B2
Il4,507.320285730328,-0.15847129601812,0.0983163194941639,-1.61185138778031,0.106994282699117,0.0727706414736599,#BEBEBEB2
Pxmp4,427.113335341417,-0.049727987040412,0.0866486481652475,-0.573903783767934,0.566032912458103,0.0949616853926477,#BEBEBEB2
Dlg3,348.642067725033,0.0434918358119281,0.107501301629176,0.404570318245562,0.685793380067413,0.0964047437258928,#BEBEBEB2
Gnb1l,82.3571994955422,-0.425772054605087,0.196657234907156,-2.16504648204831,0.0303841258007822,0.0488751051781266,#00FF00B2
Mmp11,92.3149322495356,0.0586645578003271,0.202001052769131,0.290417089396932,0.77149717136517,0.0976311827609725,#BEBEBEB2
Smarcb1,1049.67415096483,-0.0127509309782897,0.0930085595085675,-0.137094166877352,0.890956363093798,0.0990837187678999,#BEBEBEB2
Hip1r,1915.6647554035,-0.0323290745980423,0.0648193212700275,-0.498756759012707,0.617950753456181,0.0955481334185828,#BEBEBEB2
Nsun5,213.292375254555,-0.0680902397808237,0.125777678075017,-0.541353925616381,0.588263658112151,0.0952236071226918,#BEBEBEB2
Top1mt,239.304893100539,-0.0840300143951273,0.115551037496723,-0.72721124981254,0.467096555700437,0.0931286241050734,#BEBEBEB2
Snrpn,17692.9989780479,-0.0134572784465099,0.0503286299731512,-0.267388133825399,0.789170334781477,0.0977101524304313,#BEBEBEB2
Mmp14,1211.98217768576,0.111835473273716,0.117886174387521,0.948673361017598,0.342786766673583,0.0893044802186782,#BEBEBEB2
Slc7a7,1175.98925101171,0.0297262977829346,0.0718839613083766,0.41353171475082,0.679217091301484,0.0963678528231009,#BEBEBEB2
Oxa1l,901.474564090484,-0.0356394225476686,0.0781555920518175,-0.45600604655441,0.648385630163749,0.0959745706361652,#BEBEBEB2
Heatr6,800.98324355865,-0.00230206566189388,0.0897834913444746,-0.0256401887186753,0.97954433063508,0.0999024929120249,#BEBEBEB2
Ilf2,993.322210248851,0.0333849044137539,0.071849138520093,0.46465281423545,0.642180104243296,0.0958322696021534,#BEBEBEB2
